UNIT,CHIPLET,RELEASED_WA_PATH,RTL_TAG,RELEASE_TYPES,RELEASE_USER,RELEASE_TIMESTAMP
ccored,HPORT,/home/scratch.brachas_vlsi_1/agur/1NL/ccored/ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins_ref_copy,"ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",brachas,2025/11/13 15:25:52,/home/agur_backend_blockRelease/block/ccored/ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins_ref_copy__2025_11_13_15_25_52
ccoree,HPORT,/home/scratch.ykatzav_vlsi_1/agur/ccoree/ccoree_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins_ref_copy,"ccoree_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",ykatzav,2025/11/13 18:10:19,/home/agur_backend_blockRelease/block/ccoree/ccoree_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins_ref_copy__2025_11_13_18_10_19
ccoref,HPORT,/home/scratch.brachas_vlsi_1/agur/1NL/ccoref/ccoref_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins_ref_copy,"ccoref_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",brachas,2025/11/12 20:47:02,/home/agur_backend_blockRelease/block/ccoref/ccoref_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins_ref_copy__2025_11_12_20_47_2
clt,NDQ,/home/scratch.aamsalem_vlsi/agur/clt/1NL/run_2_11/clt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_3_11/pnr_flow/nv_flow/clt/ipo1021/nbu_signoff,"clt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",aamsalem,2025/11/09 11:07:16,/home/agur_backend_blockRelease/block/clt/nbu_signoff_clt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_3_11_ipo1021_2025_11_9_11_7_16
cscore,NDQ,/home/scratch.ynaim_vlsi/agur/1NL/cscore/cscore.cscore_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_lockup_vivid,"cscore_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA",ynaim,2025/11/16 11:32:57,/home/agur_backend_blockRelease/block/cscore/cscore.cscore_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_lockup_vivid__2025_11_16_11_32_57
dcmp,NDQ,/home/scratch.rmenasheof_vlsi/agur/dcmp/dcmp_manual_flp_21_9_for_vivid,"dcmp_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA",rmenasheof,2025/11/16 13:57:05,/home/agur_backend_blockRelease/block/dcmp/dcmp_manual_flp_21_9_for_vivid__2025_11_16_13_57_5
fdbm,NDQ,/home/scratch.dkolesnikov_vlsi/agur/fdbm/1NL/fdbm_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap__run1,"fdbm_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",dkolesnikov,2025/11/14 14:11:28,/home/agur_backend_blockRelease/block/fdbm/fdbm_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap__run1__2025_11_14_14_11_28
fdbs,NDQ,/home/scratch.brachas_vlsi/agur/1NL/fdbs/fdbs_eco_imp_2025_10_19_17_25,"fdbs_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",brachas,2025/11/16 12:40:39,/home/agur_backend_blockRelease/block/fdbs/fdbs_eco_imp_2025_10_19_17_25__2025_11_16_12_40_39
fthm,NDQ,/home/scratch.ayerushalmy_vlsi/agur/fthm/1NL/fthm_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap_V3,"fthm_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",ayerushalmy,2025/11/16 13:26:34,/home/agur_backend_blockRelease/block/fthm/fthm_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap_V3__2025_11_16_13_26_34
ftos,NDQ,/home/scratch.thadad_vlsi_1/agur/1NL/ftos/condb_int3_2025_08_27_0_1NL_snap_th/pnr_flow/nv_flow/ftos/ipo1000/nbu_signoff,"ftos_rbv_2025_09_04_condb_int3_2025_08_27_0_1NL_snap","STA",thadad,2025/11/09 11:06:48,/home/agur_backend_blockRelease/block/ftos/nbu_signoff_condb_int3_2025_08_27_0_1NL_snap_th_ipo1000_2025_11_9_11_6_48
