UNIT,CHIPLET,RELEASED_WA_PATH,RTL_TAG,RELEASE_TYPES,RELEASE_USER,RELEASE_TIMESTAMP
tecorel,QNS,/home/scratch.gnarla_vlsi/agur/1NL/tecorel/tecorel_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_default_run,"tecorel_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",gnarla,2025/11/13 07:16:03,/home/agur_backend_blockRelease/block/tecorel/tecorel_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_default_run__2025_11_13_7_16_3
tecorer,QNS,/home/scratch.hsajwan_vlsi/agur/1NL/tecorer/tecorer_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_FIRST_RUN,"tecorer_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",hsajwan,2025/11/13 10:30:20,/home/agur_backend_blockRelease/block/tecorer/tecorer_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_FIRST_RUN__2025_11_13_10_30_20
tds,QNS,/home/scratch.hsajwan_vlsi/agur/1NL/tds/tds_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_FIRST_RUN,"tds_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",hsajwan,2025/11/13 10:29:37,/home/agur_backend_blockRelease/block/tds/tds_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_FIRST_RUN__2025_11_13_10_29_37
alm,TCB,/home/scratch.tmazor_vlsi/agur/agur_alm_rbv_2025_10_09/pnr_flow/nv_flow/alm/ipo1005/nbu_signoff,"agur_alm_rbv_2025_10_09","STA",tmazor,2025/11/11 18:08:57,/home/agur_backend_blockRelease/block/alm/nbu_signoff_agur_alm_rbv_2025_10_09_ipo1005_2025_11_11_18_8_57
bta,TCB,/home/scratch.vliberchuk_vlsi/agur/1nl/bta/bta_2025_10_28_Oct28_Timing/pnr_flow/nv_flow/bta/ipo1085_vchiplet_ptfix_of1078_ofp/nbu_signoff,"bta_rbv_2025_10_28_agur_condb_int3_2025_08_27_0_1NL_snap_85p_timing_lnkl","STA",vliberchuk,2025/11/11 11:45:58,/home/agur_backend_blockRelease/block/bta/nbu_signoff_bta_2025_10_28_Oct28_Timing_ipo1085_2025_11_11_11_45_58
eri,TCB,/home/scratch.hsajwan_vlsi/agur/1NL/ERI/eri_rbv_2025_09_28_timing_fixes_first_run,"eri_rbv_2025_09_28_timing_fixes","STA,FCL,PNR",hsajwan,2025/11/11 16:03:15,/home/agur_backend_blockRelease/block/eri/eri_rbv_2025_09_28_timing_fixes_first_run__2025_11_11_16_3_15
hib,TCB,/home/scratch.tmazor_vlsi/agur/hib_rbv_2025_09_01_agur_condb_int3_2025_08_27_0_1NL_snap/pnr_flow/nv_flow/hib/ipo1005/nbu_signoff,"hib_rbv_2025_09_01_agur_condb_int3_2025_08_27_0_1NL_snap","STA",tmazor,2025/11/11 16:33:30,/home/agur_backend_blockRelease/block/hib/nbu_signoff_hib_rbv_2025_09_01_agur_condb_int3_2025_08_27_0_1NL_snap_ipo1005_2025_11_11_16_33_30
top_yc_clock,TOP_YC,/home/starling_backend_blockData/top_yc_clock/top_yc_clock_sunbird_rbv_2023_05_21_FNL,"top_yc_clock_sunbird_rbv_2023_05_21_FNL","STA,FCL,PNR,FULL",abeinhorn,2024/07/22 23:13:27,/home/agur_backend_blockRelease/block/top_yc_clock/full_release
top_yc_gpio,TOP_YC,/home/scratch.lschwartz_vlsi/agur/top_yc_gpio/top_yc_gpio_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_new,"top_yc_gpio_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",lschwartz,2025/11/12 16:25:43,/home/agur_backend_blockRelease/block/top_yc_gpio/top_yc_gpio_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_new__2025_11_12_16_25_43
yc_clock_macro,TOP_YC,/home/starling_backend_blockData/yc_clock_macro/top_yc_clock_sunbird_rbv_2023_05_21_FNL__20230624_sp6,"top_yc_clock_sunbird_rbv_2023_05_21_FNL__20230624_sp6","STA,FCL,PNR,FULL",abeinhorn,2024/07/22 23:13:39,/home/agur_backend_blockRelease/block/yc_clock_macro/full_release
yc_fuse,TOP_YC,/home/scratch.lhaiby_vlsi/Agur/yc_fuse_agur_rbv_2025_08_11_condb_int3_2025_07_31_1_1NL_snap,"yc_fuse_agur_rbv_2025_08_11_condb_int3_2025_07_31_1_1NL_snap","STA,PNR",lhaiby,2025/11/16 10:23:53,/home/agur_backend_blockRelease/block/yc_fuse/yc_fuse_agur_rbv_2025_08_11_condb_int3_2025_07_31_1_1NL_snap__2025_11_16_10_23_53
yc_fuse_macro,TOP_YC,/home/starling_backend_blockData/yc_fuse_macro/yc_fuse_sunbird_rbv_2023_05_21,"yc_fuse_sunbird_rbv_2023_05_21","STA,FCL,PNR,FULL",abeinhorn,2024/07/22 14:49:01,/home/agur_backend_blockRelease/block/yc_fuse_macro/full_release
yu_mng,TOP_YC,/home/scratch.aspiegelglas_vlsi/Agur/yu_mng/yu_mng_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_05,"yu_mng_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap","STA",aspiegelglas,2025/11/13 22:42:48,/home/agur_backend_blockRelease/block/yu_mng/yu_mng_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_05__2025_11_13_22_42_48
