# Agur Project - Units Table (All Chiplets)
# Generated: $(date '+%Y-%m-%d %H:%M:%S')
# 
# Format: UNIT | CHIPLET | RELEASED_WA_PATH | RTL_TAG | RELEASE_TYPES | RELEASE_DATE | RELEASE_USER
# -------------------------------------------------------------------------------------------------

iopl | NDQ | /home/scratch.yshlush_vlsi/iopl/iopl_condb_int1_52_2r1/export/export_icc2 | export_icc2 | STA,FCL | 2025-07-27 | yshlush
ioplm | NDQ | /home/sunbird_netaa/ioplm/starling_ioplm_2024_10_30 | starling_ioplm_2024_10_30 | STA | 2024-11-14 | netaa
iopx | NDQ | /home/sunbird_vmoshkovich/iopx/starling_iopx_2024_11_06 | starling_iopx_2024_11_06 | STA,FCL | 2025-03-05 | vmoshkovich
lndm | NDQ | /home/scratch.shlomoc_vlsi/agur/lndm/run_07_09_2025_lndm_rbv_2025_09_01_new_flow | lndm_rbv_2025_09_01_condb_int3_2025_08_27_0_1NL_snap | STA,FCL | 2025-10-08 | shlomoc
nvrisc | NDQ | /home/scratch.ykatzav_vlsi/agur/nvrisc/nvrisc_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_run2 | nvrisc_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL | 2025-10-06 | ykatzav
pmuxm | NDQ | /home/scratch.brachas_vlsi/agur/1NL/pmuxm/pmuxm_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_sep10 | pmuxm_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-06 | brachas
prtm | NDQ | /home/scratch.lmustafa_vlsi/agur/prtm/prtm_rbv_2025_09_01_agur_condb_int3_2025_08_27_0_1NL_snap_r1_fifthtry | prtm_rbv_2025_09_01_agur_condb_int3_2025_08_27_0_1NL_snap_r1 | STA,FE_DCT | 2025-10-08 | lmustafa
psca | NDQ | /home/scratch.nkahaz_vlsi/ww38_5_fixes/psca_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap_ref | psca_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-12 | nkahaz
pscb | NDQ | /home/scratch.nkahaz_vlsi/ww38_5_fixes/pscb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_ref | pscb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-14 | nkahaz
pscc | NDQ | /home/scratch.dtraitelovic_vlsi/agur/pscc/pscc_2025_09_02_1NL_snap_new_flow_flp_cdc | pscc_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-08 | dtraitelovic
pscd | NDQ | /home/scratch.gibell_vlsi_1/agur/1nl/pscd/pscd_rbv_2025_09_02_ver6_Sep25_gb | pscd_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-11 | gibell
px | NDQ | /home/scratch.aamsalem_vlsi/agur/px/1NL/run_5_10_gl-check_fix/px_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_fix-gl-check | px_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL,PNR | 2025-10-06 | aamsalem
riba | NDQ | /home/scratch.rmenasheof_vlsi/agur/riba/riba_10_9_1nl_new_flow_golden | riba_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-08 | rmenasheof
ribs | NDQ | /home/scratch.ynaim_vlsi/agur/1NL/ribs/ribs.ribs_rbv_2025_09_02_condb_int3_08_27_0_1NL_snap_no_route_blk | ribs_rbv_2025_09_02_condb_int3_08_27_0_1NL_snap | STA | 2025-10-08 | ynaim
sma | NDQ | /home/scratch.shlomoc_vlsi/agur/sma/run_07_09_2025_sma_rbv_2025_09_04_new_flow_dsr_fix_interface_fix | sma_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL | 2025-10-08 | shlomoc
yu | NDQ | /home/scratch.ashahock_vlsi_1/agur/yu/yu_agur_rbv_2025_03_17_condb_int1_11_3_BE_TNL_snap_ver7_new_flow | yu_agur_rbv_2025_03_17_condb_int1_11_3_BE_TNL | STA,PNR | 2025-05-25 | ashahock
dqaa | QNS | /home/scratch.siddharthasa_vlsi/agur/1NL/dqaa/dqaa_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_10_sep | dqaa_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL,PNR | 2025-10-12 | siddharthasa
