Unit,Chiplet,Release Directory,Age (days),Size,Owner,Release Timestamp,Has Symlinks,Symlink Names,Symlink Owners,Requires Coordination,Recommendation
ccoreb,HPORT,ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__2025_10_8_14_35_39,103,174G,roir,2025-10-08 14:35:39,Yes,"SEP_10,SEP_28_FP","roir,raduc",Yes,Coordinate with symlink owners first
ccoreb,HPORT,ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__2025_10_8_14_25_49,103,174G,roir,2025-10-08 14:25:49,Yes,prev_SEP_10,roir,Yes,Coordinate with symlink owners first
ccored,HPORT,nbu_signoff_ccored_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__new_pins_ipo1361_2025_8_26_11_6_45,146,172G,sorino,2025-08-26 11:06:45,No,None,None,No,Safe to delete
ccoreb,HPORT,ccoreb_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__2025_9_8_8_16_16,133,171G,roir,2025-09-08 08:16:16,No,None,None,No,Safe to delete
psca,NDQ,nbu_signoff_psca_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap_ref_ipo1046_2025_10_20_16_37_28,90,155G,nkahaz,2025-10-20 16:37:28,Yes,"SEP_28_FE,FNL_4PV","nkahaz,ekantorovich",Yes,Coordinate with symlink owners first
cscore,NDQ,cscore_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap_flow_rev13_cts2__2025_9_1_9_17_36,140,143G,ynaim,2025-09-01 09:17:36,Yes,prev_release,ynaim,No,Remove symlinks first
ccorec,HPORT,ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__2025_10_8_14_34_9,103,135G,roir,2025-10-08 14:34:09,Yes,"SEP_10,SEP_28_FP","roir,raduc",Yes,Coordinate with symlink owners first
ccorec,HPORT,ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__2025_10_8_14_21_42,103,135G,roir,2025-10-08 14:21:42,Yes,prev_SEP_10,roir,Yes,Coordinate with symlink owners first
ccorec,HPORT,ccorec_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__2025_9_8_8_16_42,133,133G,roir,2025-09-08 08:16:42,No,None,None,No,Safe to delete
ccored,HPORT,ccored_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__new_pins__2025_9_18_10_29_1,123,131G,sorino,2025-09-18 10:29:01,No,None,None,No,Safe to delete
ccored,HPORT,ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins__2025_10_8_16_40_5,102,131G,sorino,2025-10-08 16:40:05,Yes,"SEP_10,SEP_28_FP","raduc,sorino",Yes,Coordinate with symlink owners first
ccored,HPORT,ccored_rbv_2025_08_17_condb_int2_22_4_BE_SFNL_snap__rm_smp__2025_9_30_9_59_42,111,130G,sorino,2025-09-30 09:59:42,No,None,None,No,Safe to delete
ccoree,HPORT,ccoree_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins__2025_10_8_16_28_5,102,129G,sorino,2025-10-08 16:28:05,Yes,"SEP_10,SEP_28_FP","raduc,sorino",Yes,Coordinate with symlink owners first
ccored,HPORT,nbu_signoff_ccored_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap__new_pins_ipo1361_2025_9_3_9_28_57,138,122G,sorino,2025-09-03 09:28:57,Yes,prev_AUG_07_FP,sorino,Yes,Coordinate with symlink owners first
glc,NDQ,glc_rbv_2025_06_18_condb_int2_23_5r1_BE_SFNL_snap_flow_rev13__2025_8_30_20_58_23,141,119G,ynaim,2025-08-30 20:58:23,No,None,None,No,Safe to delete
